Time,Gascooler_Valve_System.HPValve.vleFluidB.d,Gascooler_Valve_System.HPValve.vleFluidB.h,Gascooler_Valve_System.HPValve.vleFluidB.p,Gascooler_Valve_System.HPValve.vleFluidB.s,Gascooler_Valve_System.HPValve.vleFluidB.T,Gascooler_Valve_System.HPValve.vleFluidB.M,Gascooler_Valve_System.HPValve.vleFluidB.q,Gascooler_Valve_System.HPValve.vleFluidB.cp,Gascooler_Valve_System.HPValve.vleFluidB.cv,Gascooler_Valve_System.HPValve.vleFluidA.d,Gascooler_Valve_System.HPValve.vleFluidA.h,Gascooler_Valve_System.HPValve.vleFluidA.p,Gascooler_Valve_System.HPValve.vleFluidA.s,Gascooler_Valve_System.HPValve.vleFluidA.T,Gascooler_Valve_System.HPValve.vleFluidA.M,Gascooler_Valve_System.HPValve.vleFluidA.q,Gascooler_Valve_System.HPValve.vleFluidA.cp,Gascooler_Valve_System.HPValve.vleFluidA.cv,Gascooler_Valve_System.HPValve.vleFluidA.w,Gascooler_Valve_System.HPValve.vleFluidA.kappa,Gascooler_Valve_System.HPValve.vleFluidA.beta,Gascooler_Valve_System.HPValve.vleFluidB.beta,Gascooler_Valve_System.HPValve.vleFluidB.kappa,Gascooler_Valve_System.HPValve.vleFluidB.w,Gascooler_Valve_System.HPValve.vleFluidB.drhodh_pxi,Gascooler_Valve_System.HPValve.vleFluidB.drhodp_hxi,Gascooler_Valve_System.HPValve.vleFluidB.gamma,Gascooler_Valve_System.HPValve.vleFluidA.drhodh_pxi,Gascooler_Valve_System.HPValve.vleFluidA.drhodp_hxi,Gascooler_Valve_System.HPValve.vleFluidA.gamma
0.86,357.228,350000,6.89346e+006,1496.23,301.16,0.0440098,0.6595,14993.2,4394.8,362.704,365827,7.7e+006,1541.06,306.681,0.0440098,1,23014.3,1309.67,181.704,1.46741e-006,0.194082,0.132524,8.10947e-007,115.316,-0.00269271,8.27389e-005,3.85224,-0.00305871,3.87211e-005,17.5725
0.88,362.275,350000,6.9539e+006,1495.67,301.543,0.0440098,0.667959,17294.5,4438.7,352.484,369224,7.7e+006,1552.14,306.843,0.0440098,1,19290.1,1280.5,183.699,1.2665e-006,0.16187,0.151917,9.40941e-007,114.165,-0.00274285,8.42951e-005,4.44294,-0.00295781,3.80251e-005,15.0646
0.9,367.27,350000,7.01257e+006,1495.14,301.911,0.0440098,0.678301,20337.2,4492.82,342.652,372604,7.7e+006,1563.15,307.034,0.0440098,1,16291,1252.31,185.653,1.10149e-006,0.135966,0.177632,1.11331e-006,112.925,-0.00279252,8.60224e-005,5.21414,-0.00285979,3.73594e-005,13.0088
0.92,372.19,350000,7.06915e+006,1494.63,302.263,0.0440098,0.691121,24502.6,4559.08,333.215,375960,7.7e+006,1574.08,307.258,0.0440098,1,13875.4,1225.19,187.579,9.65938e-007,0.115116,0.21294,1.34996e-006,111.581,-0.00284146,8.79532e-005,6.25559,-0.00276448,3.67169e-005,11.3251
0.94,377.02,350000,7.1234e+006,1494.15,302.598,0.0440098,0.707344,30474.3,4641.41,324.179,379285,7.7e+006,1584.89,307.516,0.0440098,1,11926.3,1199.21,189.486,8.54419e-007,0.0982959,0.263711,1.69007e-006,110.101,-0.00288945,9.01572e-005,7.72414,-0.00267187,3.60932e-005,9.94514
0.96,381.746,350000,7.17511e+006,1493.7,302.915,0.0440098,0.728506,39587.2,4745.39,315.552,382569,7.7e+006,1595.57,307.813,0.0440098,1,10348.5,1174.43,191.378,7.62426e-007,0.0846783,0.341402,2.20986e-006,108.438,-0.00293626,9.27339e-005,9.91985,-0.00258206,3.54862e-005,8.81152
0.98,386.36,350000,7.2241e+006,1493.28,303.213,0.0440098,0.757414,54798.2,4875.12,307.339,385804,7.7e+006,1606.07,308.147,0.0440098,1,9065.66,1150.91,193.252,6.86262e-007,0.0736027,0.471341,3.07689e-006,106.577,-0.00298169,9.5756e-005,13.503,-0.00249524,3.48952e-005,7.87693
1,390.857,350000,7.27018e+006,1492.89,303.491,0.0440098,0.799957,83965.3,5052.61,299.536,388985,7.7e+006,1616.39,308.521,0.0440098,1,8016.45,1128.72,195.108,6.22875e-007,0.0645388,0.720618,4.73151e-006,104.329,-0.00302541,9.96147e-005,20.1291,-0.0024115,3.43202e-005,7.10228
1.02,395.258,350000,7.31328e+006,1492.53,303.749,0.0440098,0.872195,156275,5321.21,292.145,392102,7.7e+006,1626.48,308.933,0.0440098,1,7153.86,1107.89,196.937,5.69885e-007,0.0570814,1.33714,8.78474e-006,101.367,-0.00306706,0.000105081,35.6781,-0.00233106,3.37627e-005,6.45717
1.04,399.234,350000,7.35338e+006,1492.2,303.991,0.0440098,1,332233,1926.75,285.168,395146,7.7e+006,1636.33,309.381,0.0440098,1,6440.71,1088.49,198.734,5.25371e-007,0.0509101,2.83212,1.84902e-005,152.835,-0.00340328,5.13352e-005,172.431,-0.00225409,3.3224e-005,5.91712
